başlık,özet,tür,vizyon_tarihi,oyuncular,yönetmen,resim_link
Kedi Kız,"1942 yılına ait klasik filmin bu modern ve erotik uyarlamasında, dürtülerinin onu vahşi siyah bir leopara dönüştürdüğünü keşfetmesiyle birlikte genç bir kadının cinsel uyanışlarının yarattığı korku ve dehşete tanık oluyoruz. Genç ve çok çekici kadınla birlikte biz de esrarengiz orijinini keşfediyoruz.'Kedi İnsanlar' insanların kadınlarını Leoparlara kurban ettiği çok eski zamanlarda bu iki türün çiftleşmesinden geliyorlar. Sadece birbirleriyle çiftleşebilen türden geriye sadece iki kişi kalmıştır: Biri kız diğeri erkek iki kardeş!","['Fantastik', 'Dram', 'Korku']",None,"['Nastassja Kinski', 'Malcolm McDowell', 'John Heard']",['Paul Schrader'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/80/20/41/19544812.jpg
Teksas Katliamı: Başlangıç,Savaş öncesi tam da savaşa ruhen hazırlanırken çıkılan bir yolculuk aniden kabusa dönüşür. Vakit Vietnam Savaşının patlak verdiği dönemlerdir. Dean ile Eric bu savaşa katılacaklardır ancak öncesinde sevgilileri ile birlikte bir yolculuk planlarlar. Ummadıkları bir kaza her şeyi değiştirir. Uzun yıllara mal olacak korku ile kuşatılmış bir takım olayların kurbanları konuma düşmüşlerdir. Önceki yeni versiyon olarak çekilen film Teksas Katliamı’nda yer alan esas kötü karakter Leatherface’e ait gerçeklerin de açığa çıktığı bir hikaye. Meraklıları için kaçırılmaması gereken türden.,['Korku'],1 Aralık 2006,"['Jordana Brewster', 'Taylor Handley', 'Diora Baird']",['Jonathan Liebesman'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/109344.jpg
O Şimdi Mahkum,"Yaratıcılığın etkinliğini var gücü ile ortaya koyduğu ve emeği yaratanı bile şaşırttığı bir hikayenin içindeyiz. Askerlik yapmış üç yakın arkadaş bir işe kalkışırlar. Başka işlerde pek bir başarı elde edemeyen Levent, iyi para getireceğine inanarak bir sitcom yazmaya ve bunu perdeye aktarmaya yeltenir. Başrolü Gökhan’a vermek ister. Ancak olaylar tuhaf bir biçimde ilerlerken başlarını belanın içinde bulurlar. Dahası hapishaneye girmişerdir. Levent’in yazmış olduğu sitcomun adı “O Şimdi Mahkum” tam anlamını ve gerçeğini bulmuştur. Kaldıkları hapishane koğuşunda askerlik arkadaşları Karlıdağ ile karşılaşırlar. Bu kez bambaşka bir platformda bir araya gelen eski dostlar, hapishanedeki dünyanın içinde daha önce hiç bilmedikleri yaşamlarla kesişir, alışık olmadıkları olaylara şahit olurlar.",[],15 Nisan 2005,"['Erkan Can', 'Levent Kazak', 'Fadik Sevin Atasoy']",['Abdullah Oğuz'],https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/70266.jpg
Camp Rock,"Rock Kampı Disney Channel in orijinal bir filmidir. Bir ""sex, drugs, rock'n'roll"" filmi olmanın çok ötesinde bir yapım olan filmde, yetenekli bir genç kızın sürekli gitme hayallerini kurduğu Rock Kampı’na gitmesi ve orada geçirdiği eğlenceli zamanlar aktarılıyor. Komedi ve müziğin birleştiği filmde Demi Lovato:Mitche ve Joe Jonas:Shane Gray rolünde oynuyor. Shane Gray gerçek hayatta olduğu gibi filmde de kardeşleriyle birlikte oluşturdukları bir grubun üyesi olarak karşımıza çıkıyor.","['Komedi', 'Müzik']",20 Haziran 2008,"['Demi Lovato', 'Joe Jonas', 'Alyson Stoner']",['Matthew Diamond'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/06/137308.jpeg
"Barselona, Barselona","Woody Allen, çarpık ilişkiler, kadın erkek gerilimleri ve hayatın şaşırtıcılığı konularında sayısız filme imza attıktan sonra yine kendisine yakışır bir ""özel durum""u sinemaseverlere aktarıyor. Amerikalı Vicky ve Cristina, İspanya'da geçirecekleri bir yaz tatilinde, karşılarına çıkan gizemli bir İspanyol sanatçıdan etkileneceklerdir. Gösterişli sanatçı (Javier Bardem) ve onun güzel fakat ""arıza"" eski eşi (Penélope Cruz) ile tehlikeli sularda yüzeceklerdir. Vicky (Rebecca Hall) evlenmek üzere olan ancak muhafazakar ve tutucu bir kadındır. Cristina (Scarlett Johansson) ise cinsel maceralara meraklı, zihni açık, özgür ruhlu bir kadındır. Kaderleri kesişen üç insan arasında doğan yasak aşk ilişkisi kaotik sonuçlar doğuracaktır. Vicky Cristina Barcelona, öyküsünün geçtiği kent olmaksızın düşünülemeyecek bir film olarak karşımıza çıkıyor. Woody Allen aşk ve sanatın sınır tanımazlığını enteresan bir hikaye ile hatırlatıyor.","['Romantik', 'Komedi', 'Dram']",9 Ocak 2009,"['Scarlett Johansson', 'Rebecca Hall', 'Javier Bardem']",['Woody Allen'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/126148.jpg
Hanging Rockta Piknik,"1900'lı yılların başında, önemli bir kız okulu ismi Hanging Rock olan dağlık bir bölgeye gezi düzenler. Bir süre sonra öğrencilerden üçü ve bir de öğretmen bu bölgede kaybolur. Artık herkesin başlıca amacı onları bulmak olacaktır. Ancak arayanlar bir türlü bir sonuca varamamaktadırlar. Tüm ekip bu cevapsız sorunun ağırlığı altında ezilmek üzeredir.",['Dram'],None,"['Rachel Roberts', 'Vivean Gray', 'Helen Morse']",['Peter Weir'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/03/50980.jpg
Patron Mutlu Son İstiyor,"Yapımcı İsfendiyar, senaristlik yapan Sinan'ı romantik komedi filmi senaryosu yazması için Kapadokya'ya gönderir. Burada bir butik otele yerleşen Sinan zor durumdadır. Çünkü ne yazacağı konusunda hiçbir fikri yoktur. Üstelik düşünmek için yeterli zamana sahip değildir. Patronu, işini bir an önce bitirmesi için ona baskı yapmaktadır. Sinan, butik otelin sahibi olan İzzet Bey'in kızı Eylül'le tanışır ve ondan çok etkilenir. Hatta ondan ilham alarak yazacağı senaryoyu onun üzerine kurmaya karar verir. Ancak bir sorun vardır: Eylül, ünlü bir oyuncu olan Faruk'la nişanlıdır. Faruk ile Sinan birbirlerini uzun zamandır tanımaktadırlar ve bu tanışıklık pek hoş anılarla dolu değildir. Çünkü Sinan, zamanında yakın arkadaş olduğu Faruk'un sevgilisini çalmıştır; bu yüzden de Faruk, Sinan'ı düşman ilan etmiştir.","['Komedi', 'Romantik']",1 Ocak 2014,"['Tolga Çevik', 'Ezgi Mola', 'Murat Başoğlu']",['Kıvanç Baruönü'],https://tr.web.img2.acsta.net/c_310_420/pictures/13/12/27/14/12/071350.jpg
RoboCop,"Uluslararası mega şirket OmniCorp, 2028 yılına gelindiğinde robot teknolojisinin önde gelen tedarikçilerinden biri olmuş ve dünya çapındaki yüksek satış rakamlarıyla bir hayli kar elde etmiştir. Aynı zaman diliminde yaşayan idealisy polis memuru Alex Murphy ise yaşadığı şehir Detroit'te suçu bitirmek için uğraşmaktadır. Yine zorlu görevlerinden birine çıktığında bu kez şansı yaver gitmez ve vahşi suçlular tarafından saldırıya uğrar. Ağır yaralı olarak bulunan Murphy'nin hayatta kalması neredeyse imkansızdır. OmniCorp'ta çalışan bilimadamlarından biri olan Dr. Dennett Norton, ajan Murphy'i robot teknolojisinin bir sonraki adımında kullanmaya karar verir. Yarı insan yarı robot formatında yeni bir polis prototipi yaratılacaktır ve Murphy bu türün ilk kobayı olacaktır. Böylelikle ortaya çıkan RoboCop'un durdurulması neredeyse imkansızdır ve durmaksızın suça karşı savaşması için programlanır. RoboCop, olağanüstü yetenekleri, sınırsız gücü ve uzaktan kontrol edilebilirliği sayesinde mükemmel bir prototip olmayı başarmıştır. Ancak kendini yaratan insanların öngöremediği önemli bir gerçek vardır. Makinenin içinde yaşayan 'insan' belli belirsiz de olsa geçmişinden bir şeyler taşımaktadır.Filmin yönetmen koltuğunda José Padilha bulunurken, başrollerini Joel Kinnaman, Douglas Urbanski, Abbie Cornish ve Gary Oldman paylaşıyor. ","['Aksiyon', 'Bilimkurgu']",14 Şubat 2014,"['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton']",['José Padilha'],https://tr.web.img3.acsta.net/c_310_420/pictures/14/01/29/14/03/049906.jpg
Sahte Kabadayı,"Sahte Kabadayı, babasının intikamını almak için farklı bir dünyanın kapılarını aralayan Kemal’in başına gelenleri konu ediyor. Kemal ünlü bir mafya babasının oğludur. Fakat babasının aksine onun sakin, mütevazi bir hayatı vardır. Günlerini garda pişmaniye satarak geçirmektedir. Fakat Kemal’in hayatı babasının ölümünün ardından bambaşka bir hal alır. Babası en yakın adamı Muhtar tarafından öldürülünce mirası bölünür. Avukatın kendisini aramasıyla gerçekleri öğrenen Kemal apar topar İstanbul’a gider. Mirası geri almayı kafasına koyan Kemal şehrin en namlı kabadayılarını ziyaret etmeye başlar. Kemal kısa sürede yeraltı dünyasında nam salar. Kemal’in kendi peşinde olduğunu öğrenen Muhtar onu tuzağa düşürmek için her yolu dener. Fakat Kemal kendisine yapılan bu tuzakların hepsinden şapşallığı sayesinde kolayca kurtulur. Kemal kendisinden kurtulmaya çalışanları ekarte edip babasının intikamını alabilecek midir? Natuk Baytan’ın yönetmen koltuğunda oturduğu filmin senaryosunu Suavi Sualp kaleme alıyor. Kemal Sunal’ın başrolü üstlendiği filmin oyuncu kadrosunda ayrıca Kazım Kartal, Mümtaz Ener, Hasan Ceylan, Suna Selen, Yavuz Selekman gibi isimler yer alıyor.",['Komedi'],None,"['Kemal Sunal', 'Kazım Kartal', 'Suna Selen']",['Natuk Baytan'],https://tr.web.img4.acsta.net/c_310_420/pictures/18/07/03/09/25/0187528.jpg
Kanlı Taht,"Yerel bir yöneticinin emrinde çalışan generaller Miki ve Washizu lordlarının düşmanlarını öldürüp başarılı olduklarında eve dönmek için yola çıkarlar. Güzargahlarındaki Cobweb ormanından geçerken doğaüstü güçlere sahip bir ruhla karşılaşan ikili, bu kadının gelecekleri hakkında söylediklerini dinlerler. Ruh Wahsizu'nun ileride önemli bir mevkide olacağını ancak Miki'nin soyundan geleceklerin daha da önemli insanlar olacaklarını söyler. Evlerine dönen adamlar olayların şaşkınlığını üzerinden atamazlar. Kahinin söylediklerini karısına anlatan Washizu karısının kışkırtmalarıyla tehlikeli bir plan yapıp kendisine anlatılan geleceğin daha da fazlasını elde etmeye çalışacaktır. Ünlü İngiliz yazar Shakespeare'in Macbeth isimli başyapıtının sinema uyarlaması olan film, Macbeth'i ortaçağ Japonyası'nın kültürüyle başarılı bir şekilde yeniden yorumluyor.",['Dram'],None,"['Toshirô Mifune', 'Takashi Shimura']",['Akira Kurosawa'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/05/81768.jpg
Ölüm Fısıltısı,"Varlıklı bir aileye mensup olan David fidye amaçlı kaçırılır. Henüz 10 yaşında olan David, bir İngiliz ailenin tek çocuğudur. Fidyeciler Max Harper ve ortağı yanlış ata oynamışlardır. Çünkü ailesinden para koparabilmek için kendisini kaçıran Max Harper ve ortağının hedefi olan David, klasik bir kurban olamayacak denli özel bir çocuktur. Max ve ortağı için fidye amaçlı klasik bir kaçırma olayından farkı olmayan bu durum, David’in sahip olduğu bir takım üstün güçler nedeni ile bir anda kabusa dönüşüverir. Artık iki ortak için de olanların hiç yaşanmamış olmasını dilemekten başka yapılacak bir şey kalmamıştır. Stewart Hendler imzalı Whisper’ın kadrosunda, bütün dünyada büyük bir izleyici kitlesi ile takip edilen dizi Lost’un başrol oyuncularından Josh Holloway yer alıyor.","['Polisiye', 'Korku']",13 Temmuz 2007,"['Blake Woodruff', 'Joel Edgerton', 'Dule Hill']",['Stewart Hendler'],https://tr.web.img2.acsta.net/c_310_420/medias/nmedia/18/81/12/95/19555541.jpg
Zaman Makinesi 1973,"Hayatta isteyebileceği her şeyi çalışmaksızın elde etmiş olan Tolga, gamsız bir hayat sürmektedir. Babası Ali Rıza ölünce, miras bıraktığı onca şeyden Tolga'ya kala kala bir Anadol STC 16 kalmıştır. duruma anlam verememenin yanında epey de sinirlenmiştir. Ancak öfkeyle gaza bastığında birden havaya yükselir ve göğe çıkar. Bir plaja iniş yaptıktan sonra arabayı tamire götürür fakat insanlar giyiminden konuşmasına kadar yaptığı her şeyi garip karşılamaktadır. Tamir parası konusunda ustayla anlaşamaz. Usta bunun üzerine kendisine yanında çalışmayı teklif eder. Tolga'ya da her şey tuhaf gelmeye başlamıştır ki o sırada bir şey fark eder: Artık bulunduğu yılda değildir! 1973 yazına arabayla iniş yapmıştır. Yersiz yurtsuz ve parasız kalan Tolga'ya acıyan Çiko onunla ilgilenip onu kollamaya başlar. 1973 yılının nostaljisinin yaşamanın yanında Tolga, tanıdığı insanlarla ve yaşadıklarıyla o yaşına kadar almadığı bir hayat dersi de alacaktır. Yönetmenliğini Yeşilçam'ın usta ismi Aram Gülyüz'ün yaptığı, başrolünde başarılı komedi oyuncusu Gürgen Öz'ün yer aldığı komedi filmi, yeni aldığı klasik model bir arabayla ilk sürüşünde bir anda hız yapınca, kendisini 40 sene önce geçmişte bulan bir adamın başına gelen eğlenceli hikayeleri beyazperdeye taşıyor. Bir zaman makinesi olan arabasıyla 1973 yılına 'ışınlanan' karakterimiz, hippilerin, hulahopun ve açık hava sefalarının moda olduğu 1970'lerde gelecekten geldiğini ispatlayabilecek midir? ",['Komedi'],14 Mart 2014,"['Gürgen Öz', 'Seda Bakan', 'Damla Cangül']",['Aram Gülyüz'],https://tr.web.img4.acsta.net/c_310_420/pictures/14/02/18/08/55/031097.jpg
Umut,"Yılmaz gurbet ellerde mapushaneye düşmüştür. Seneler geçtikten sonra memleketi Şarköy’e geri döner. Fakat döndüğünde ailesini darmadağın bulur. Bebekliğinden beri görmediği 6 yaşındaki oğlu Umut ise artık babasına yabancılaşmış vaziyettedir. Yılmaz oğluna yakınlaşmak için çabalarken onun hayattan uzaklaştığı gerçeğiyle karşılaşınca onun için çabalamaktan başka çaresi yoktur. Fakat bunun için karşısına çıkan bir teklif, Yılmaz’ı zorlu bir seçime sürükler. Bir taraftan da dönüşüyle karşılık veremediği bir aşk bulmuştur. Şarköy’den İstanbul’a uzanan bir olaylar örgüsüyle destanlardan, efsanelerden, geleneklerden yola çıkılarak hazırlanmış Umut, özellikle finaliyle izleyiciyi etkilemeyi amaçlıyor.",[],27 Şubat 2009,"['Fikret Hakan', 'Zafer Algöz', 'Zeynep Tokuş']",['Murat Aslan'],https://tr.web.img2.acsta.net/c_310_420/pictures/bzp/03/144221.jpg
Şampiyonlar,"Marco Montes, İspanyol basketbol liginde yer alan önemli bir takımın, ikinci antrenörü olarak görev yapan bir basketbol koçudur. Kibirli bir adam olan Marco, bu yüzden özel hayatında sıkıntılar yaşamaktadır. Bir gün basketbol müsabakasında birinci antrenör ile tartışınca stadyumdan kovulur. Bunun üzerine bir de sarhoş olduğu bir gün polis aracına çarpınca tutuklanır. Hakim karşısına çıkan Marco, bir seçim yapmak zorunda bırakılır. Ya 2 yıl hapis yatacak ya da 90 gün boyunca topluma hizmet etmekle görevlendirilecektir. Gönüllü olmasa da topluma hizmet etmeyi kabul eden Marco, zihinsel engelli çocuklardan oluşan “Los Amigos” adlı bir basketbol takımını eğitmekle görevlendirilir. Bir yandan eşi Sonia ile olan evliliğini kurtarmaya çalışan Marco, bir yandan da çocukları eğitmeye başlar. Bu sırada “Los Amigos” ulusal paralimpik yarışmaya hak kazandığını öğrenen Marco, kendisini daha büyük bir sıkıntının içinde bulur. Ancak eşinden gördüğü destek sayesinde Marco, hem kendi sorunlarını çözmek hem de takımı şampiyon yapmak için mücadele etmeye karar verir.","['Dram', 'Komedi']",3 Mayıs 2019,"['Javier Gutiérrez', 'Alberto Nieto Fernández', 'Daniel Freire']",['Javier Fesser'],https://tr.web.img4.acsta.net/c_310_420/pictures/19/04/22/09/41/0729008.jpg
Özgürlüğün Elli Tonu,"Anastasia ve Christian, yaşadıkları zorlu ayrılıkların ve iniş çıkışların ardından nihayet mutlu sona ulaşmışlardır. Tutkulu aşkları, nikah yüzükleri ve görkemli bir evlilik töreni ile mutlu sona ulaşmıştır. Ancak Anastasia'nın peşine düşen Jack, çifte huzur vermez. Anastasia'nın lüks ve aşkla bezeli mükemmel hayatı bir kez daha sarsıntılara sahne olacaktır... Jamie Dornan ve Dakota Johnson, dünya çapında çok satan “Elli Ton” fenomeninin üçüncü bölümünden uyarlanan ""Özgürlüğün Elli Tonu"" filminde Christian Grey ve Anastasia Steele rolleriyle geri dönüyor.","['Dram', 'Romantik', 'Erotik']",9 Şubat 2018,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']",['James Foley'],https://tr.web.img3.acsta.net/c_310_420/pictures/18/02/06/12/14/1540837.jpg
Alvin ve Sincaplar: Yol Macerası,"Bir dizi yanlış anlaşılmanın sonrasında Alvin, Simon ve Theodore, Dave'in yeni sevgisilisine evlenme teklifi edeceğini düşünmeye başlar. Şimdi önlerinde Dave'i bu kararından vazgeçirip arkadaşlarını kaybetmeyi ve berbat bir üvey kardeşe sahip olmasını önlemek için üç günleri vardır. Walt Becker'ın yönettiği filmde Alvin ve arkadaşlarını New York şehrinde eğlenceli bir macera bekliyor. Filmin başrollerinde Jason Lee, Jesica Ahlberg, Josh Green, Bella Thorne bulunuyor. Seslendirme kadrosunda ise Justin Long, Matthew Gray Gubler, Jesse McCartney, Christina Applegate, Kaley Cuoco, Anna Faris yer alıyor.","['Animasyon', 'Macera', 'Komedi', 'Aile']",1 Ocak 2016,"['Jason Lee', 'Kimberly Williams-Paisley', 'Tony Hale']",['Walt Becker'],https://tr.web.img4.acsta.net/c_310_420/pictures/15/12/15/14/45/245675.jpg
Sanctum,"James Cameron'un yapımcılığını üstlendiği 3D aksiyon filmi Sanctum, 'Avatar'da da kullanılan 3D sistemiyle çekildi. Film Güney Pasifikte'ki dünyanın en güzel, en büyük ve girmesi en zor mağarasına doğru tehlikelerle dolu bir yolculuğa çıkan bir yeraltı mağara dalgıç ekibinin hikayesini anlatıyor.Bir tropikal fırtına yüzünden mağaranın derinliklerine inmek zorunda kalan su altı ekibi, denize açılan ve bilinmeyen bir çıkış yolu ararken, ölümcül zeminler, şiddetli sular ve yavaş yavaş artan panik ile savaşmak zorundadır. Usta dalgıç Frank McGuire, Güney Pasifik'teki Esa-ala Mağaraları'nı aylardır araştırmaktadır. Ancak çıkış yolu beklenmedik bir sel ile tıkandığı için, 17 yaşındaki oğlu Josh ve ekibi finanse eden Carl Hurley'nin de dahil olduğu ekip planlarını değiştirmek zorunda kalmıştır.Ekip, gün geçtikçe azalan yiyecekleri ile sualtı labirentinde yolunu bulmak zorundadır. Sonunda ekip kaçınılmaz bir soruyla karşı karşıya gelir: Bu mağaradan kurtulmak mümkün müdür, yoksa sonsuza dek burada hapis mi kalacaklardır?","['Macera', 'Dram', 'Aksiyon']",4 Şubat 2011,"['Richard Roxburgh', 'Rhys Wakefield', 'Dan Wyllie']",['Alister Grierson'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/122066.jpg
Hypercube: Cube 2,"Film, bir küpün içerisinde tuzağa düşmüş olan Becky isimli bir genç kızla açılır. Ardından birbirlerini daha önce hiç görmemiş olan sekiz kişiyle karşılaşırız. Her biri farklı mesleklerden olan bu sekiz kişi kendilerini bir küpün içerisinde tutsak olmuş bir şekilde bulurlar. Çıkış yolu bulmak için dolaşmaya başladıklarında ise hapsoldukları şeyin gizemini keşfederler. Bildiğimiz fizik kurallarının geçerli olmadığı bu ortam, kurtulması imkansız bir yerdir. Her ne olursa olsun kurtulmaya kararlı olan grup ise tüm birikimlerini birleştirerek kurtulma yollarını aramaya başlarlar. İlk filmiyle oldukça ses getiren ve kendine has bir hayran kitlesi yaratan Küp'ün devam filmi olan yapıt, tema olarak kendisini tekrar etmekte.","['Bilimkurgu', 'Korku']",None,"['Geraint Wyn Davies', 'Kari Matchett', 'Neil Crone']",['Andrzej Sekula'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/03/41695.jpg
Dick Tracy,"Bir zamanlar Hollywood'un en gözde aktörlerinden biri olan Warren Beatty, efsanevi grafik-roman karakteri Dick Tracy olarak karşımıza çıkıyor 90'lı yılların bu görkemli prodüksiyonuyla... Çizgi romanın bu sinema uyarlamasında, tıpkı orijinalinde olduğu gibi bindokuzyüzotuzların buhranlı, noir atmosferi bir hayli gerçekçi resmedilmiş. Chicago'nun gözüpek külhanbeyi Big Boy Caprice, kendisi gibi bir gangster olan Lips Manlis'in çetesine savaş başlatır. Manlis'in sahip olduğu ve suç aleminin nabzının attığı gece kulübünü basarak Manlis'in gözdesi çekici şarkıcı Breathless Mahoney'i de kendi haremine katar! Big Boy'un, ""meslekdaşlarının"" ayağını kaydırma hırsı öyle büyük bir patırtıya sebebiyet verir ki; bir süre sonra kanun adamı Dick Tracy'nin dikkatini çekmesi gecikmez.","['Polisiye', 'Aksiyon']",None,"['Warren Beatty', 'Al Pacino', ' Madonna']",['Warren Beatty'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/06/6002.jpeg
Ölüm Gemisi,"Fırtına, üçü masum biri katil üç insanı tek bir yerde mahsur bırakmıştır. Dışarıdaki bu fırtınaya rağmen Key Largo'daki otelin içerisinde yaşananlar çok daha korkunçtur. İnsanlara acı çektirmekten çok hoşlanan bir mafya patronu olan Johnny Rocco, hiçbir günahı olmayan üç insanı elinde tutmaktadır. Aralarındaki eski bir asker, Rocco'ya karşı koyabilecek olan tek adamdır. Ancak savaşın gerçekleri onu çoktan yorgun düşürmüştür. Amerikan Sineması'nın en önemli yönetmenlerinden biri olan John Huston'ın önemli filmlerinden biri olan Ölüm Gemisi, tiyatrodan sinemaya bir uyarlama...","['Polisiye', 'Dram']",None,"['Humphrey Bogart', 'Lauren Bacall', 'Edward G. Robinson']",['John Huston'],https://tr.web.img2.acsta.net/c_310_420/pictures/14/09/16/10/30/384381.jpg
Şans Kapıyı Kırınca,"Şans Kapıyı Kırınca medya dünyasına eleştirel bakan bir yapım. Günümüzün televizyon sektörüne nüktedan bir üslupla yanıt veren film, televizyonun en popüler yarışma programlarından biri olan ‘Şans Kapıyı Kırınca’ya katılarak büyük ödülü kazanmaya çalışan Yurdum ailesinin trajikomik hikayesini anlatır. Aile reisi Kuddusi’nin yarışmayı kazanması için yapması gereken tek şey kendisine verilen tablodaki yiyeceklerin kalori miktarlarını ezberlemektir. Yarışma anı geldiğinde tüm soruları yanıtlayıp son soruda yanlış cevap verir. Ama yine de bir teselli hediyesi vardır; Yurdum ailesini daha önce adını bile duymadıkları bir adada eğlenceli bir tatil beklemektedir. Başrolde Zeki Alasya gibi efsane bir oyuncu da yeralmakta olan filmin bazı çekimleri Küba'da yapıldı.",['Komedi'],28 Ocak 2005,"['Sinan Çetin', 'Rasim Öztekin', 'Doğa Rutkay']",None,https://tr.web.img3.acsta.net/c_310_420/pictures/bzp/01/186846.jpg
Need For Speed: Hız Tutkusu,"Ailesinin Marshall Motors adlı otomobil tamirhanesini arkadaşlarıyla birlikte işleten Tobey Marshall, babasının ölümünün ardından kendilerine kalan borçları temizleyebilmek için var gücüyle çalışmaktadır. Mesai saatlerini otomobil tamiratıyla geçiren Tobey, hafta sonlarını yer altı otomobil yarışlarında yarışarak geçirmektedir. Yarışlarla birlikte arabalara ve adrenaline duyduğu tutku katbekat artarken, Dino Brewster isimli düşmanından büyük bir teklif alır. Son derece zengin bir adam olan Dino, Tobey'den dünyanın en hızlı ve donanımlı Mustang'ini yapmasını ister. Tobey de gerekli olan parayı böylece tamamlayabileceğini düşünürek bu teklifi kabul eder. Bu esnada yeni bir yarış hazırlığı başlar ve bu yarışta Tobey ile Dino rakip takımlarda yarışacaklardır. Ancak bu yarış bir ölümle sonuçlanır ve Dino suçu bir şekilde Tobey'nin üstüne yıkar. Tobey iki yılını hapishanede geçirecek, ardından intikam hırsıyla Dino'yu esaslı bir yenilgiye uğratmaya çalışacaktır.EA Games'in aynı isimli dünyaca ünlü video oyunundan uyarlanan Need For Speed filmi, adrenalin ve macerayı bu kez beyazperdeye taşıyor. Filmin yönetmenliğini Scott Waugh üstlenirken, başrolünde Breaking Bad dizisinin yıldızı Aaron Paul yer alıyor.",['Aksiyon'],14 Mart 2014,"['Aaron Paul', 'Dominic Cooper', 'Imogen Poots']",['Scott Waugh'],https://tr.web.img2.acsta.net/c_310_420/pictures/14/02/28/11/43/389514.jpg
Karnaval,"İzmir'de çekilen film, evden eve halı yıkama makinesi pazarlayan Alis ve babasının düğün salonunda pastacılık yapan Demet'in aşkını mizahi bir üslupla anlatıyor. 30'lu yaşlardaki Alis babasıyla yaşadığı sorunlar nedeniyle evden kovulur ve arabada yaşamaya başlar. Bu süreçte tek derdi hayatını sürdürebileceği düzenli bir işe girebilmektir. Tam da bu sırada halı yıkama makinesi pazarlamacısı olma şansını elde eder. Sonrasında tesadüf eseri karşılaştığı Demet ile arasında gelişenler sayesinde hayallerini gerçekleştirme fırsatını yakalarlar. Yoldaki Kedi adlı kısa filmiyle Altın Koza da dahil olmak üzere birçok ödüle layık görülen genç yönetmen Can Kılcıoğlu'nun ilk uzun metraj çalışması olan filmin başrollerinde deneyimli oyuncular Serdar Orçin ve Tülin Özen yer alıyor.","['Romantik', 'Komedi']",27 Eylül 2013,"['Serdar Orçin', 'Tülin Özen', 'İpek Bilgin']",['Can Kılcıoğlu'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/06/210536.jpeg
Addams Ailesi,"Aşklarını yenileyen Gomez (Raul Julia) ve Morticia’nın (Anjelica Huston) erkek çocuklarının dünyaya gelişiyle Addams malikanesine yeni bir ses gelir. Fester’ın (Cristopher Lloyd) şehvet düşkünü dadı Debbie Jilinsky’nin (Joan Cusack) peşine düşmesiyle Wednesday (Christine Ricci) ve Pugsley (Jimmy Workman) onun aslında kara bir dul olduğunu ve Fester’ı da ölü koca koleksiyonuna eklemek istediğini keşfederler.Fester’ın dadıyla evlenmesi ve ardından da çocukları yaz kampı için evden uzaklaştırmaya çalışmasıyla ailede soğuk rüzgarlar esmeye başlar. Ancak Wednesday henüz son sözünü söylememiştir...Sinemanın ve ekranların en uzun soluklu 'fantastik ailesi' olarak nitelendirebileceğimiz Addams Ailesi, Barry Sonnenfeld’in yönetmenliğindeki bu filmle, 1992’de En İyi Kostüm dalında Oscar’a aday gösterilmişti.","['Komedi', 'Fantastik', 'Aile']",None,"['Anjelica Huston', 'Raúl Julia', 'Christopher Lloyd']",['Barry Sonnenfeld'],https://tr.web.img4.acsta.net/c_310_420/medias/nmedia/18/81/93/90/19586075.jpg
Kolera Günlerinde Aşk,"Kolombiya’da Büyük Savaşın hemen ardından yaşlı bir adam merdivenden düşer ve ölürken karısına olan büyük aşkını dile getirir. Cenazeden sonra adamın biri dul kalan kadını arar ve kadın onu reddeder. Olaydan 50 yıl geriye gideriz. O sırada bir Florentino Ariza adındaki telgrafçı çocuk Fermina Daza’ya aşık olur. Ariza kararlı ve ısrarcıdır. Sürekli yazar, serenat yapar, şiir düzer gibi aşktan söz eder. Babaları onları ayrı tutmaya çalışır ve bir süre sonra Fermina bu aşkı bir illüzyon gibi görmeye başlar. Çok geçmeden kültürlü bir fizikçi olan Urbino ile evlenir ve yıllarca Ariza hiçbir kadını sevmeden sürüyle kadının kollarında avunmaya çalışır.Urbino’nun düşüşünden sonra Ariza’nın umutları da bir yanılgı mıdır değil midir? Film Gabriel Garcia Marquez’in romanından uyarlanmıştır.","['Romantik', 'Dram']",7 Mart 2008,"['Javier Bardem', 'Giovanna Mezzogiorno', 'Catalina Sandino Moreno']",['Mike Newell'],https://tr.web.img4.acsta.net/c_310_420/pictures/bzp/01/109071.jpg
